a  Lycodapus_extensus
a  Astroscopus_guttatus  Abbott_1860
a  Gymnothorax_eurostus  Abbott_1860
a  Myrichthys_magnificus  Abbott_1860
a  Xyrauchen_texanus  Abbott_1860
a  Notropis_amoenus  Abbott_1874
a  Cilus_gilberti  Abbott_1899
a  Protosalanx_hyalocranius  Abbott_1901
a  Rutilus_sojuchbulagi  Abdurakhmanov_1950
a  Lagocephalus_gloveri  Abe_&_Tabeta_1983
a  Takifugu_radiatus  Abe_1947
a  Takifugu_chinensis  Abe_1949
a  Takifugu_obscurus  Abe_1949
a  Tetragonurus_pacificus  Abe_1953
a  Prognichthys_sealei  Abe_1955
a  Decapterus_akaadsi  Abe_1958
a  Beryx_mollis  Abe_1959
a  Paracaesio_kusakarii  Abe_1960
a  Halosaurus_sinensis  Abe_1974
a  Takifugu_snyderi  Abe_1988
a  Helicolenus_avius  Abe_and_Eschmeyer_1972
a  Leiognathus_aureus  Abe_and_Haneda_1972
a  Leiognathus_hataii  Abe_and_Haneda_1972
a  Photoblepharon_steinitzi  Abe_and_Haneda_1973
a  Rondeletia_loricata  Abe_and_Hotta_1963
a  Paracaesio_sordida  Abe_and_Shinohara_1962
a  Cypselurus_hiraii  Abe_in_Tomiyama_and_Abe_1953
a  Cypselurus_starksi  Abe_in_Tomiyama_and_Abe_1953
a  Cetomimus_compunctus  Abe_Marumo_and_Kawaguchi_1965
a  Leptoderma_lubricum  Abe_Marumo_and_Kawaguchi_1965
a  Gorgasia_japonica  Abe_Miki_and_Asai_1977
a  Cristatogobius_nonatoae  Ablan_1940
a  Liparis_inquilinus  Able_1973
a  Liparis_coheni  Able_1976
a  Fundulus_relictus  Able_and_Felley_1988
a  Epigonus_parini  Abramov_1987
a  Epigonus_angustifrons  Abramov_and_Manilo_1987
a  Bollmannia_gomezi  Acero_P._1981
a  Lythrypnus_solanensis  Acero_P._1981
a  Emblemaria_caycedoi  Acero_P._1984
a  Emblemariopsis_tayrona  Acero_P._1987
a  Aspistor_cookei  Acero_P._and_Betancur
a  Aspistor_neogranatensis  Acero_P._and_Betancur
a  Opistognathus_fenmutis  Acero_P._and_Franke_1993
a  Hypoplectrus_providencianus  Acero_P._and_Garzn
a  Cubiceps_kotlyari  Agafonova_1988
a  Cubiceps_macrolepis  Agafonova_1988
a  Cubiceps_nanus  Agafonova_1988
a  Romanogobio_uranoscopus  Agassiz_1828
a  Cynodon_gibbus  Agassiz_1829
a  Couesius_plumbeus  Agassiz_1850
a  Notropis_rubellus  Agassiz_1850
a  Chologaster_cornuta  Agassiz_1853
a  Embiotoca_jacksoni  Agassiz_1853
a  Hypsurus_caryi  Agassiz_1853
a  Amphistichus_argenteus  Agassiz_1854
a  Amphistichus_rhodoterus  Agassiz_1854
a  Embiotoca_lateralis  Agassiz_1854
a  Etheostoma_punctulatum  Agassiz_1854
a  Etheostoma_spectabile  Agassiz_1854
a  Fundulus_dispar  Agassiz_1854
a  Fundulus_lineolatus  Agassiz_1854
a  Fundulus_notti  Agassiz_1854
a  Hybopsis_dorsalis  Agassiz_1854
a  Percina_nigrofasciata  Agassiz_1854
a  Rhacochilus_toxotes  Agassiz_1854
a  Rhinichthys_obtusus  Agassiz_1854
